Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
TP53		166	163	36.7%	Yes
TTN		106	86	19.4%	No
MUC16		77	67	15.1%	No
AR		72	61	13.7%	Yes
SYNE1		55	49	11.0%	No
CSMD3		47	43	9.7%	No
FOXA1		43	41	9.2%	Yes
KMT2C		46	40	9.0%	Yes
BRCA2		42	37	8.3%	Yes
KMT2D		42	37	8.3%	Yes
AHNAK2		41	35	7.9%	No
HMCN1		36	32	7.2%	No
APC		35	31	7.0%	Yes
USH2A		33	31	7.0%	No
CACNA1E		30	29	6.5%	No
PLEC		34	28	6.3%	No
PTEN		28	28	6.3%	Yes
RYR1		29	28	6.3%	No
LRP1B		31	28	6.3%	Yes
OBSCN		35	28	6.3%	No
ATM		29	27	6.1%	Yes
DCHS2		30	27	6.1%	No
FAT3		30	27	6.1%	No
MUC4		27	26	5.9%	No
RYR3		26	26	5.9%	No
CDK12		37	26	5.9%	Yes
RYR2		26	25	5.6%	No
SPOP		25	25	5.6%	Yes
ABCA13		29	25	5.6%	No
ANK2		25	24	5.4%	No
TENM3		25	24	5.4%	No
FAT4		25	24	5.4%	Yes
MUC17		27	24	5.4%	No
DST		24	23	5.2%	No
LRP2		25	23	5.2%	No
PKHD1		24	23	5.2%	No
CSMD1		24	23	5.2%	No
ZFHX4		23	23	5.2%	No
FCGBP		23	22	5.0%	No
DNAH3		22	22	5.0%	No
ANK3		23	21	4.7%	No
ZFHX3		25	21	4.7%	Yes
SCN5A		22	21	4.7%	No
SYNE2		23	21	4.7%	No
PCLO		23	21	4.7%	Yes
MYO15A		23	21	4.7%	No
GRIN2A		21	20	4.5%	Yes
NEB		21	20	4.5%	No
DNAH2		20	20	4.5%	No
FREM2		21	20	4.5%	No
MUC5B		22	20	4.5%	No
CTNNB1		19	19	4.3%	Yes
DNAH11		23	19	4.3%	No
EPPK1		19	19	4.3%	No
LRRK2		20	19	4.3%	Yes
VCAN		19	18	4.1%	No
MUC2		20	18	4.1%	No
DCHS1		21	18	4.1%	No
SPEG		20	18	4.1%	No
MACF1		20	18	4.1%	No
VPS13B		23	18	4.1%	No
PKD1L1		21	18	4.1%	No
DNAH10		18	18	4.1%	No
HECTD4		21	18	4.1%	No
FSIP2		20	18	4.1%	No
DNAH8		18	17	3.8%	No
FLG		17	17	3.8%	No
SPTA1		18	17	3.8%	No
TG		18	17	3.8%	No
CACNA1I		17	17	3.8%	No
MGA		19	17	3.8%	Yes
CSMD2		18	17	3.8%	No
