Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
TP53		195	189	18.7%	Yes
TTN		207	150	14.8%	No
MUC16		134	113	11.2%	No
SPOP		93	92	9.1%	Yes
SYNE1		90	73	7.2%	No
FOXA1		71	69	6.8%	Yes
KMT2C		79	66	6.5%	Yes
KMT2D		77	65	6.4%	Yes
CSMD3		64	61	6.0%	No
HMCN1		64	55	5.4%	No
LRP1B		60	54	5.3%	Yes
OBSCN		65	53	5.2%	No
AR		54	48	4.7%	Yes
SPTA1		51	47	4.6%	No
USH2A		49	46	4.5%	No
RYR1		48	45	4.4%	No
PTEN		45	44	4.3%	Yes
RYR2		45	44	4.3%	No
ABCA13		48	43	4.2%	No
ZFHX3		49	41	4.0%	Yes
FAT3		46	41	4.0%	No
DCHS2		40	40	3.9%	No
FAT4		48	39	3.8%	Yes
ATM		38	38	3.8%	Yes
CACNA1E		39	37	3.7%	No
CSMD1		38	37	3.7%	No
DNAH3		38	36	3.6%	No
MUC4		36	34	3.4%	No
MYO15A		36	34	3.4%	No
XIRP2		37	34	3.4%	No
APC		33	33	3.3%	Yes
CDK12		47	33	3.3%	Yes
PLEC		39	32	3.2%	No
PKHD1L1		34	32	3.2%	No
FLG		39	31	3.1%	No
LRRK2		32	31	3.1%	Yes
ANK2		38	30	3.0%	No
CTNNB1		31	30	3.0%	Yes
PRKDC		34	30	3.0%	Yes
RP1		31	30	3.0%	No
KDM6A		32	30	3.0%	Yes
HERC2		39	30	3.0%	No
AHNAK2		39	30	3.0%	No
MUC17		40	30	3.0%	No
FLG2		33	30	3.0%	No
DST		33	29	2.9%	No
BRCA2		30	29	2.9%	Yes
LRP2		32	29	2.9%	No
PIK3CA		31	29	2.9%	Yes
PCLO		38	29	2.9%	Yes
PCDH15		32	29	2.9%	No
FAT2		30	28	2.8%	No
NEB		29	28	2.8%	No
RYR3		34	28	2.8%	No
BSN		31	28	2.8%	No
GRIN2A		27	27	2.7%	Yes
SCN5A		28	27	2.7%	No
PCDHA11		32	27	2.7%	No
AHNAK		34	27	2.7%	No
ZFHX4		27	27	2.7%	No
TAF1L		28	27	2.7%	No
FREM2		32	27	2.7%	No
APOB		27	26	2.6%	No
COL11A1		28	26	2.6%	No
COL12A1		27	26	2.6%	No
VCAN		29	26	2.6%	No
SYNE2		28	26	2.6%	No
ADGRV1		29	26	2.6%	No
VPS13B		34	26	2.6%	No
MUC5B		32	26	2.6%	No
ANK3		27	25	2.5%	No
COL5A1		28	25	2.5%	No
ZNF208		36	25	2.5%	No
NCOR1		26	25	2.5%	Yes
MED12		25	25	2.5%	Yes
MACF1		31	25	2.5%	No
SACS		27	25	2.5%	No
EPPK1		27	25	2.5%	No
CSMD2		30	25	2.5%	No
CNTNAP5		26	25	2.5%	No
ADGRB3		25	24	2.4%	No
HSPG2		26	24	2.4%	No
FCGBP		25	24	2.4%	No
BCLAF1		30	24	2.4%	No
SPEN		32	24	2.4%	Yes
RNF213		28	24	2.4%	Yes
NAV2		24	24	2.4%	No
DNAH10		26	24	2.4%	No
DNAH8		26	23	2.3%	No
DYNC1H1		28	23	2.3%	No
LRP1		32	23	2.3%	No
MUC2		25	23	2.3%	No
PKHD1		25	23	2.3%	No
TG		24	23	2.3%	No
SPEG		26	23	2.3%	No
CHD6		27	23	2.3%	No
DNAH2		26	23	2.3%	No
FSIP2		24	23	2.3%	No
DNAH9		26	22	2.2%	No
RELN		27	22	2.2%	Yes
DNAH17		26	22	2.2%	No
CNTN6		22	22	2.2%	No
STAB2		23	22	2.2%	No
MYO18B		22	22	2.2%	No
CELSR3		27	21	2.1%	No
FBN1		23	21	2.1%	No
MGA		23	21	2.1%	Yes
PCDHA2		23	21	2.1%	No
SVEP1		27	21	2.1%	No
FBN3		22	21	2.1%	No
FNDC1		22	21	2.1%	No
ASPM		22	21	2.1%	No
CACNA1A		21	20	2.0%	No
COL6A3		21	20	2.0%	No
LAMA3		20	20	2.0%	No
PTPRC		20	20	2.0%	Yes
ROBO2		23	20	2.0%	No
CUBN		22	20	2.0%	No
SCN11A		20	20	2.0%	No
DHX30		22	20	2.0%	No
ADGRL3		20	20	2.0%	No
UBR4		20	20	2.0%	No
ZNF521		20	20	2.0%	Yes
DNAH1		28	20	2.0%	No
MYO3A		21	20	2.0%	No
FRAS1		22	20	2.0%	No
PREX2		22	20	2.0%	Yes
THSD7B		20	20	2.0%	No
SORCS1		21	20	2.0%	No
IGSF10		21	20	2.0%	No
ANK1		24	19	1.9%	No
CDC27		21	19	1.9%	No
CTNNA2		20	19	1.9%	No
DMD		19	19	1.9%	No
GRIA1		19	19	1.9%	No
MYH6		25	19	1.9%	No
SI		19	19	1.9%	No
DNAH11		21	19	1.9%	No
HIST1H3F		22	19	1.9%	Yes
NCOR2		23	19	1.9%	Yes
PDE4DIP		22	19	1.9%	Yes
ZNF536		21	19	1.9%	No
SEC16A		19	19	1.9%	No
MXRA5		19	19	1.9%	No
PCDH17		19	19	1.9%	No
DNAH7		21	19	1.9%	No
SPHKAP		19	19	1.9%	No
ZNF831		21	19	1.9%	No
NALCN		19	19	1.9%	No
CHD3		19	18	1.8%	No
ERF		22	18	1.8%	Yes
FAT1		29	18	1.8%	Yes
MYH4		18	18	1.8%	No
PTPRD		20	18	1.8%	Yes
SCN10A		18	18	1.8%	No
SIGLEC1		20	18	1.8%	No
TNXB		20	18	1.8%	No
VWF		19	18	1.8%	No
DCHS1		20	18	1.8%	No
HERC1		24	18	1.8%	No
SIPA1L3		18	18	1.8%	No
CUL9		19	18	1.8%	No
CASZ1		20	18	1.8%	No
FMN2		21	18	1.8%	No
GPR158		18	18	1.8%	No
CNTNAP4		18	18	1.8%	No
ASTN1		17	17	1.7%	No
ADGRB1		18	17	1.7%	No
CACNA1B		18	17	1.7%	No
COL7A1		20	17	1.7%	No
DNAH5		19	17	1.7%	No
DSP		17	17	1.7%	No
CELSR2		22	17	1.7%	No
FBN2		19	17	1.7%	No
FLNB		21	17	1.7%	No
CFH		18	17	1.7%	No
LAMA5		22	17	1.7%	No
KMT2A		22	17	1.7%	Yes
MYH7		17	17	1.7%	No
SCN1A		19	17	1.7%	No
TRRAP		18	17	1.7%	Yes
HIST2H4A		17	17	1.7%	No
CACNA1H		18	17	1.7%	No
ZMYM3		17	17	1.7%	Yes
CELSR1		17	17	1.7%	No
SRCAP		17	17	1.7%	No
WDFY3		23	17	1.7%	No
ZNF292		18	17	1.7%	No
MYCBP2		18	17	1.7%	No
MDN1		20	17	1.7%	No
ZFPM2		18	17	1.7%	No
CHD5		18	17	1.7%	No
CPAMD8		18	17	1.7%	No
SHANK1		18	17	1.7%	No
VPS13D		22	17	1.7%	No
BIRC6		17	17	1.7%	No
KIAA1109		19	17	1.7%	No
RP1L1		17	17	1.7%	No
FAM47A		17	17	1.7%	No
PKD1L1		23	17	1.7%	No
COL22A1		18	17	1.7%	No
LAMA1		18	17	1.7%	No
NWD1		18	17	1.7%	No
KIF1A		17	16	1.6%	No
CHD4		17	16	1.6%	Yes
FASN		18	16	1.6%	No
GRM1		16	16	1.6%	No
GRM3		17	16	1.6%	Yes
INSRR		16	16	1.6%	No
ITPR1		17	16	1.6%	No
PCNT		17	16	1.6%	No
PEG3		20	16	1.6%	No
PLXNA2		17	16	1.6%	No
RANBP2		18	16	1.6%	Yes
ROBO1		16	16	1.6%	Yes
SALL1		17	16	1.6%	No
TRIO		17	16	1.6%	No
TRPS1		18	16	1.6%	No
ZNF99		22	16	1.6%	No
ARID1A		18	16	1.6%	Yes
MED13		16	16	1.6%	No
HUWE1		16	16	1.6%	No
AKAP9		18	16	1.6%	No
SLITRK3		17	16	1.6%	No
CNOT1		16	16	1.6%	No
UNC13A		17	16	1.6%	No
EPB41L3		18	16	1.6%	No
ZFYVE26		16	16	1.6%	No
UTP20		17	16	1.6%	No
SETD2		17	16	1.6%	Yes
ANKRD11		19	16	1.6%	Yes
ANKHD1		18	16	1.6%	No
NBPF1		19	16	1.6%	No
NYNRIN		17	16	1.6%	No
PCDH10		16	16	1.6%	No
ADAMTS20		17	16	1.6%	No
COL27A1		16	16	1.6%	No
TRPM6		17	16	1.6%	No
OR4C6		16	16	1.6%	No
HRNR		24	16	1.6%	No
CRYBG1		15	15	1.5%	No
CDH8		16	15	1.5%	No
CDH11		15	15	1.5%	Yes
CDKN1B		16	15	1.5%	Yes
CPS1		15	15	1.5%	Yes
DCC		15	15	1.5%	No
DMBT1		17	15	1.5%	No
FLNC		19	15	1.5%	No
IGF2R		17	15	1.5%	No
LAMA2		15	15	1.5%	No
LAMA4		17	15	1.5%	No
MYH8		18	15	1.5%	No
MYO9A		19	15	1.5%	No
NPHS1		15	15	1.5%	No
NUMA1		18	15	1.5%	Yes
PKD1		16	15	1.5%	No
RB1		16	15	1.5%	Yes
ROS1		15	15	1.5%	Yes
SPTBN2		16	15	1.5%	No
TCF20		15	15	1.5%	No
COL14A1		16	15	1.5%	No
BRPF1		15	15	1.5%	No
USP34		17	15	1.5%	No
MAGEC1		16	15	1.5%	No
ABCC9		15	15	1.5%	No
TACC2		16	15	1.5%	No
CHL1		15	15	1.5%	No
ARPP21		15	15	1.5%	No
DIDO1		16	15	1.5%	No
ADAM29		15	15	1.5%	No
LMTK2		16	15	1.5%	No
PDZD2		17	15	1.5%	No
CAMTA1		16	15	1.5%	Yes
NIPBL		16	15	1.5%	No
FILIP1		15	15	1.5%	No
A1CF		17	15	1.5%	No
FAM135B		15	15	1.5%	No
PLCE1		15	15	1.5%	No
ROBO4		15	15	1.5%	No
HYDIN		16	15	1.5%	No
TRPM4		15	15	1.5%	No
CHD7		15	15	1.5%	No
PCDHA10		15	15	1.5%	No
ADAMTS9		15	15	1.5%	No
ARFGEF3		18	15	1.5%	No
ARID1B		15	15	1.5%	Yes
DISP3		16	15	1.5%	No
DOCK6		15	15	1.5%	No
ADAMTS12		15	15	1.5%	No
TLN2		15	15	1.5%	No
CTTNBP2		15	15	1.5%	No
TTBK1		15	15	1.5%	No
KIF2B		15	15	1.5%	No
KNDC1		15	15	1.5%	No
PXDNL		16	15	1.5%	No
ADGRG4		15	15	1.5%	No
DNHD1		15	15	1.5%	No
HFM1		15	15	1.5%	No
PIKFYVE		15	15	1.5%	No
SDK1		16	15	1.5%	No
FAM83H		16	15	1.5%	No
HCN1		16	15	1.5%	No
ATP2B4		14	14	1.4%	No
BRAF		14	14	1.4%	Yes
CHD1		15	14	1.4%	No
LYST		15	14	1.4%	No
COL19A1		17	14	1.4%	No
CREBBP		16	14	1.4%	Yes
NCAN		14	14	1.4%	No
MEGF8		15	14	1.4%	No
EPHB1		14	14	1.4%	Yes
F5		15	14	1.4%	No
FGA		14	14	1.4%	No
AFF2		14	14	1.4%	No
GAD2		15	14	1.4%	No
GLI3		15	14	1.4%	No
GRM4		14	14	1.4%	No
GRM5		15	14	1.4%	No
ITGAM		14	14	1.4%	No
JAK1		20	14	1.4%	Yes
LAMB1		15	14	1.4%	No
MKI67		16	14	1.4%	Yes
MYH1		14	14	1.4%	No
